MT073,Buachaille Etive Mor - Stob na Doire,,,,1011,NN207532,,M110;
MT067,Bynack More - A'Choinneach,,,,1017,NJ032048,,M058;
MT122,Bynack More - Bynack Beg,,,,970,NJ036068,,M058;
MT094,Cairn Bannoch - Cairn of Gowal,,,,991,NO226820,,M117;
MT192,Cairn Bannoch - Craig of Gowal,,,,927,NO232809,,M117;
MT084,Cairn Bannoch - Fafernie,,,,1000,NO215823,,M117;
MT003,Cairn Gorm - Cairn Lochan,,,,1215,NH985025,,M006;
MT010,Cairn Gorm - Cnap Coire na Spreidhe,,,,1151,NJ013049,,M006;
MT044,Cairn Gorm - Creag an Leth-choin [Lurcher's Crag],,,,1053,NH968033,,M006;
MT008,Cairn Gorm - Stob Coire an t-Sneachda,,,,1176,NH996029,,M006;
MT136,Cairn of Claise - Druim Mor,,,,961,NO190771,,M071;
MT004,Cairn Toul - Stob Coire an t-Saighdeir,,,,1213,NN962963,,M004;
MT051,Carn a'Choire Bhoidheach - Carn an t-Sagairt Beag,,,,1044,NO216848,,M042;
MT038,Carn a'Choire Bhoidheach - Creag a'Ghlas-uillt,,,,1068,NO242842,,M042;
MT046,Carn a'Choire Bhoidheach - Top of Eagle's Rock,,,,1051,NO237838,,M042;
MT220,Carn a'Gheoidh - Carn Bhinnein,,,,917,NO091762,,M180;;
MT210,Carn Bhac SW Top,,,,920,NO041827,,M221;
MT207,Carn Dearg - Carn Ballach (SW Top),,,,920,NH643045,,M225;
MT167,Carn Dearg - Carn Ban [Carn Mairg],,,,942,NH631031,,M225;
MT198,Carn Dearg - Diollaid a'Chairn,,,,925,NN487757,,M098;
MT202,Carn Dearg SE Top,,,,923,NH637018,,M225;
MT014,Carn Eige - Sron Garbh,,,,1131,NH144263,,M012;
MT011,Carn Eige - Stob a'Choire Dhomhain [1891: Creag na h-Eige],,,,1147,NH131264,,M012;
MT013,Carn Eige - Stob Coire Dhomhnuill,,,,1137,NH138262,,M012;
MT219,Carn Eige - Stob Coire Lochan,,,,917,NH119271,,M012;
MT199,Carn Gorm - An Sgorr,,,,924,NN640509,,M103;
MT121,Carn Liath - Meall an-t-Snaim,,,,970,NN459904,,M127;
MT222,Carn Liath - Stob Coire Dubh,,,,916,NN496916,,M127;
MT078,Carn Mairg - Meall a'Bharr,,,,1004,NN668515,,M091;
MT072,Carn Mairg - Meall Liath,,,,1012,NN693512,,M091;
MT007,Carn Mor Dearg - Carn Dearg Meadhonach,,,,1179,NN176726,,M009;
MT160,Carn nan Gobhar - Creag Dubh,,,,946,NH199350,,M152;
MT112,Chno Dearg - Meall Garbh (new position),,,,976,NN371727,,M086;
MT163,Creag Leacach SW Top,,,,943,NO149741,,M159;
